Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
Date,Temperature,Season,Consumption
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
01-01-2021,25.29299196,Winter,21.21046913
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
02-01-2021,39.5018936,Winter,37.37227906
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
03-01-2021,32.78925549,Winter,16.54024802
04-01-2021,30.41355583,Winter,15.87492377
04-01-2021,30.41355583,Winter,15.87492377
04-01-2021,30.41355583,Winter,15.87492377
04-01-2021,30.41355583,Winter,15.87492377
04-01-2021,30.41355583,Winter,15.87492377
