Date,Total_Predicted_Consumption
2024-01-01,204.67670381661213
2024-01-02,205.29225462543536
2024-01-03,204.60340094578177
2024-01-04,204.9733114696121
2024-01-05,204.4014329874356
2024-01-06,205.25895111172323
2024-01-07,203.99695093062812
2024-01-08,204.2254294711088
2024-01-09,204.87930998302414
2024-01-10,204.24225885195872
2024-01-11,204.67586179287696
2024-01-12,204.17756643782067
2024-01-13,205.11620345959582
2024-01-14,203.94021991015424
2024-01-15,204.25677441654673
2024-01-16,204.99784166869458
2024-01-17,204.44412416832296
2024-01-18,204.9543248803251
2024-01-19,204.52318481100167
2024-01-20,205.51709458651342
2024-01-21,204.38241075914806
2024-01-22,204.72462374546842
2024-01-23,205.47452239264646
2024-01-24,204.91215108493796
2024-01-25,205.39611142276863
2024-01-26,204.9216113935312
2024-01-27,205.8560705445048
2024-01-28,204.6474118873184
2024-01-29,204.9031880096198
2024-01-30,205.55668751829643
2024-01-31,204.89081938027184
2024-02-01,205.26732932615928
2024-02-02,204.6847537845258
2024-02-03,205.51392274575002
2024-02-04,204.20614542578204
2024-02-05,204.37222950254343
2024-02-06,204.9484834011645
2024-02-07,204.22050249601062
2024-02-08,204.5522965434605
2024-02-09,203.94416670865408
2024-02-10,204.7681461347782
2024-02-11,203.47614004599313
2024-02-12,203.67891777847578
2024-02-13,204.3121072829679
2024-02-14,203.6599934408321
2024-02-15,204.08467736746468
2024-02-16,203.58400431036534
2024-02-17,204.52707273558227
2024-02-18,203.36245867572492
2024-02-19,203.69730530650136
2024-02-20,204.46342542774974
2024-02-21,203.9412149676458
2024-02-22,204.48893120033262
2024-02-23,204.10073964532785
2024-02-24,205.14233855835428
2024-02-25,204.05929147092365
2024-02-26,204.45621430968967
2024-02-27,205.26296162362038
2024-02-28,204.75860727736352
2024-02-29,205.30077101780046
2024-03-01,204.8836931511725
2024-03-02,205.87386512138397
2024-03-03,204.71834598068557
2024-03-04,205.02391149276738
2024-03-05,205.7231812816417
2024-03-06,205.09852092727627
2024-03-07,205.51127257570317
2024-03-08,204.95971902111074
2024-03-09,205.81459225384467
2024-03-10,204.52726006048826
2024-03-11,204.70874129802723
2024-03-12,205.29569930978954
2024-03-13,204.57421449023818
