Datetime,Temperature
01-01-2021 00:00,42.908643
01-01-2021 01:00,32.50749421
01-01-2021 02:00,20.36340457
01-01-2021 03:00,38.8912549
01-01-2021 04:00,41.51466825
01-01-2021 05:00,24.16096601
01-01-2021 06:00,42.11704152
01-01-2021 07:00,41.89038754
01-01-2021 08:00,41.4593052
01-01-2021 09:00,42.00360353
01-01-2021 10:00,33.17415882
01-01-2021 11:00,28.78174698
01-01-2021 12:00,43.52165216
01-01-2021 13:00,31.65974047
01-01-2021 14:00,41.46409753
01-01-2021 15:00,29.64740557
01-01-2021 16:00,31.74820948
01-01-2021 17:00,40.03359497
01-01-2021 18:00,36.73557207
01-01-2021 19:00,40.39866241
01-01-2021 20:00,34.78447522
01-01-2021 21:00,38.95656698
01-01-2021 22:00,20.73952664
01-01-2021 23:00,26.66105024
02-01-2021 00:00,28.66607228
02-01-2021 01:00,25.35627902
02-01-2021 02:00,32.23623697
02-01-2021 03:00,39.82295545
02-01-2021 04:00,20.8894967
02-01-2021 05:00,22.58518542
02-01-2021 06:00,32.89660864
02-01-2021 07:00,35.60999002
02-01-2021 08:00,40.26616722
02-01-2021 09:00,26.13453106
02-01-2021 10:00,26.15769766
02-01-2021 11:00,20.89889852
02-01-2021 12:00,27.78036008
02-01-2021 13:00,31.53033182
02-01-2021 14:00,37.68058412
02-01-2021 15:00,33.29034186
02-01-2021 16:00,40.90962897
02-01-2021 17:00,35.56930965
02-01-2021 18:00,32.6374315
02-01-2021 19:00,36.09368744
02-01-2021 20:00,31.74670475
02-01-2021 21:00,27.97847245
02-01-2021 22:00,29.03480292
02-01-2021 23:00,21.56677564
03-01-2021 00:00,21.21265974
03-01-2021 01:00,42.79165162
03-01-2021 02:00,22.40752133
03-01-2021 03:00,29.91994486
03-01-2021 04:00,31.52284845
03-01-2021 05:00,32.37580783
03-01-2021 06:00,23.27746054
03-01-2021 07:00,31.98521084
03-01-2021 08:00,31.00750555
03-01-2021 09:00,44.35322234
03-01-2021 10:00,33.15220329
03-01-2021 11:00,20.13615327
03-01-2021 12:00,38.62252634
03-01-2021 13:00,43.24265694
03-01-2021 14:00,43.89926566
03-01-2021 15:00,24.78372259
03-01-2021 16:00,34.60204003
03-01-2021 17:00,24.54628992
03-01-2021 18:00,39.30976102
03-01-2021 19:00,38.46746642
03-01-2021 20:00,30.59901
03-01-2021 21:00,20.58008549
03-01-2021 22:00,44.73717197
03-01-2021 23:00,36.43630243
04-01-2021 00:00,21.81924323
04-01-2021 01:00,27.78164097
04-01-2021 02:00,41.32506501
04-01-2021 03:00,38.93791949
04-01-2021 04:00,21.36923204
04-01-2021 05:00,33.09243165
04-01-2021 06:00,21.15878129
04-01-2021 07:00,42.92912259
04-01-2021 08:00,37.43924378
04-01-2021 09:00,42.23924309
04-01-2021 10:00,39.2349945
04-01-2021 11:00,36.30844593
04-01-2021 12:00,37.72524925
04-01-2021 13:00,42.13138758
04-01-2021 14:00,28.17304611
04-01-2021 15:00,21.95104705
04-01-2021 16:00,23.3244851
04-01-2021 17:00,38.70155484
04-01-2021 18:00,39.88574599
04-01-2021 19:00,22.54874686
04-01-2021 20:00,36.66305287
04-01-2021 21:00,37.51853543
